Priority,Alpha-3 code,Name,Continent,Population density,pop_density_1overm2,on-site heat generation fraction,Emission factor tCO2/GWh
,ISL,Iceland,,3.56,3.56E-06,1,199.40
,ISR,Israel,,423,0.000423,1,199.40
16,ITA,Italy,Europe,199.97,0.00019997,1,199.40
,JAM,Jamaica,,248.08,0.00024808,1,199.40
,JEY,Jersey,,898.33,0.00089833,1,199.40
,JOR,Jordan,,123,0.000123,1,199.40
,JPN,Japan,,333.38,0.00033338,1,199.40
,KAZ,Kazakhstan,,6.69,6.69E-06,1,199.40
,KEN,Kenya,,81.75,8.175E-05,1,199.40
,KGZ,Kyrgyzstan,,31.56,3.156E-05,1,199.40
,KHM,Cambodia,,89.98,8.998E-05,1,199.40
,KIR,Kiribati,,154.13,0.00015413,1,199.40
,KNA,Saint Kitts and Nevis,,208.69,0.00020869,1,199.40
,KOR,South Korea,,516.72,0.00051672,1,199.40
,KWT,Kuwait,,248.07,0.00024807,1,199.40
,LAO,Laos,,27.42,2.742E-05,1,199.40
,LBN,Lebanon,,672.06,0.00067206,1,199.40
,LBR,Liberia,,46.12,4.612E-05,1,199.40
,LBY,Libya,,3.66,3.66E-06,1,199.40
,LCA,Saint Lucia,,292.47,0.00029247,1,199.40
,LIE,Liechtenstein,,239.88,0.00023988,1,199.40
,LKA,Sri Lanka,,334.08,0.00033408,1,199.40
,LSO,Lesotho,,74.55,7.455E-05,1,199.40
,LTU,Lithuania,,42.78,4.278E-05,1,199.40
,LUX,Luxembourg,,237.39,0.00023739,1,199.40
,LVA,Latvia,,29.59,2.959E-05,1,199.40
,MAC,Macao,,21158.05,0.02115805,1,199.40
,MAF,Saint-Martin,,664.17,0.00066417,1,199.40
,MAR,Morocco,,81,8.1E-05,1,199.40
,MCO,Monaco,,18960.4,0.0189604,1,199.40
,MDA,Moldova,,79.24,7.924E-05,1,199.40
,MDG,Madagascar,,43.75,4.375E-05,1,199.40
,MDV,Maldives,,1257.63,0.00125763,1,199.40
,MEX,Mexico,,64.35,6.435E-05,1,199.40
,MHL,Marshall Islands,,308.84,0.00030884,1,199.40
,MKD,Macedonia,,80.78,8.078E-05,1,199.40
,MLI,Mali,,15.3,1.53E-05,1,199.40
,MLT,Malta,,1633.54,0.00163354,1,199.40
,MMR,Myanmar,,80.32,8.032E-05,1,199.40
,MNE,Montenegro,,45.05,4.505E-05,1,199.40
,MNG,Mongolia,,2.07,2.07E-06,1,199.40
,MNP,Northern Mariana Islands,,123.85,0.00012385,1,199.40
,MOZ,Mozambique,,35.74,3.574E-05,1,199.40
,MRT,Mauritania,,3.87,3.87E-06,1,199.40
,MSR,Montserrat,,48.25,4.825E-05,1,199.40
,MTQ,Martinique,,329.12,0.00032912,1,199.40
,MUS,Mauritius,,620.38,0.00062038,1,199.40
,MWI,Malawi,,148.24,0.00014824,1,199.40
,MYS,Malaysia,,99,9.9E-05,1,199.40
,MYT,Mayotte,,685.88,0.00068588,1,199.40
,NAM,Namibia,,2.93,2.93E-06,1,199.40
,NCL,New Caledonia,,13.94,1.394E-05,1,199.40
,NER,Niger,,18.81,1.881E-05,1,199.40
,NFK,Norfolk Island,,49.94,4.994E-05,1,199.40
,NGA,Nigeria,,217.55,0.00021755,1,199.40
,NIC,Nicaragua,,52.66,5.266E-05,1,199.40
,NIU,Niue,,6.18,6.18E-06,1,199.40
12,NLD,Netherlands,Europe,424,0.000424,1,199.40
10,NOR,Norway,Europe,16.64,1.664E-05,1,199.40
,NPL,Nepal,,200.72,0.00020072,1,199.40
,NRU,Nauru,,533.33,0.00053333,1,199.40
,NZL,New Zealand,,19,1.9E-05,1,199.40
,OMN,Oman,,15.01,1.501E-05,1,199.40
,PAK,Pakistan,,278,0.000278,1,199.40
,PAN,Panama,,56.07,5.607E-05,1,199.40
,PCN,Pitcairn Islands,,1.19,1.19E-06,1,199.40
,PER,Peru,,25.02,2.502E-05,1,199.40
,PHL,Philippines,,367,0.000367,1,199.40
,PLW,Palau,,40.32,4.032E-05,1,199.40
,PNG,Papua New Guinea,,19.3,1.93E-05,1,199.40
7,POL,Poland,Europe,122.76,0.00012276,1,199.40
,PRI,Puerto Rico,,350.96,0.00035096,1,199.40
,PRK,North Korea,,211.96,0.00021196,1,199.40
14,PRT,Portugal,Europe,111.59,0.00011159,1,199.40
,PRY,Paraguay,,17.1,1.71E-05,1,199.40
,PSE,Palestina,,826.69,0.00082669,1,199.40
,PYF,French Polynesia,,79.69,7.969E-05,1,199.40
,QAT,Qatar,,236.84,0.00023684,1,199.40
,REU,Reunion,,340.96,0.00034096,1,199.40
,ROU,Romania,,81.4,8.14E-05,1,199.40
,RUS,Russia,,8.58,8.58E-06,1,199.40
,RWA,Rwanda,,469.83,0.00046983,1,199.40
,SAU,Saudi Arabia,,15.92,1.592E-05,1,199.40
,SDN,Sudan,,22.17,2.217E-05,1,199.40
,SEN,Senegal,,82.4,8.24E-05,1,199.40
,SGP,Singapore,,7894.26,0.00789426,1,199.40
,SGS,South Georgia and the South Sandwich Islands,,0,0,1,199.40
,SHN,Saint Helena,,14.3,1.43E-05,1,199.40
,SJM,Svalbard and Jan Mayen,,0.04,4E-08,1,199.40
,SLB,Solomon Islands,,24.06,2.406E-05,1,199.40
,SLE,Sierra Leone,,110.14,0.00011014,1,199.40
,SLV,El Salvador,,318.67,0.00031867,1,199.40
,SMR,San Marino,,567.89,0.00056789,1,199.40
,SOM,Somalia,,23.81,2.381E-05,1,199.40
,SPM,Saint Pierre and Miquelon,,24.78,2.478E-05,1,199.40
,SRB,Serbia,,89.08,8.908E-05,1,199.40
,SSD,South Sudan,,19.83,1.983E-05,1,199.40
,STP,São Tomé and Príncipe,,201.58,0.00020158,1,199.40
,SUR,Suriname,,3.47,3.47E-06,1,199.40
9,SWE,Sweden,Europe,23.05,2.305E-05,1,199.40
,SVK,Slovakia,,111.15,0.00011115,1,199.40
,SVN,Slovenia,,102.81,0.00010281,1,199.40
,SWZ,Swaziland,,66.76,6.676E-05,1,199.40
,SXM,Sint Maarten,,1261,0.001261,1,199.40
,SYC,Seychelles,,212.66,0.00021266,1,199.40
,SYR,Syria,,92.18,9.218E-05,1,199.40
,TCA,Turks and Caicos Islands,,76.28,7.628E-05,1,199.40
,TCD,Chad,,11.96,1.196E-05,1,199.40
,TGO,Togo,,133.18,0.00013318,1,199.40
,THA,Thailand,,130,0.00013,1,199.40
,TJK,Tajikistan,,63.78,6.378E-05,1,199.40
,TKL,Tokelau,,140,0.00014,1,199.40
,TKM,Turkmenistan,,11.91,1.191E-05,1,199.40
,TLS,Timor-Leste,,78.24,7.824E-05,1,199.40
,TON,Tonga,,138.89,0.00013889,1,199.40
