iso3_code,climate_zone,m2_area
IRN,"1",71035589206.174
IRN,"5",151550775569.493
GNB,"1",33882259039.253
IRL,"3",34268882766.198
IRL,"4",36087411401.953
XAD,"3",234455255.257
GEO,"3",1031805554.831
GEO,"4",2932365234.644
GEO,"5",65880434399.47
AZE,"5",86235460979.57
BIH,"3",3210316684.002
BIH,"4",27660519127.491
BIH,"5",20198023650.689
PNG,"1",462691712050.901
NLD,"4",37665827181.662
KNA,"1",267120722.24
GUY,"1",209744130631.412
SLV,"1",20422746175.634
SDN,"1",1749907791276.75
SDN,"2",122220962367.339
NCL,"1",18604731110.636
DMA,"1",754214294.912
STP,"1",1002233997.002
MAR,"3",413488424026.351
KEN,"1",585983592532.487
MAF,"1",56167641.486
HUN,"5",93052876845.048
SLB,"1",28236689157.665
GBR,"3",11349727692.307
GBR,"4",234081269524.575
MAC,"2",34128735.059
BHS,"1",13091224393.998
BHR,"3",715125475.904
SLE,"1",72599417372.761
MYT,"1",391665883.804
QAT,"3",11624979242.964
VAT,"3",526709.274
MYS,"1",329377450107.629
OMN,"3",208068685.006
OMN,"1",309028148612.738
MWI,"1",118028719964.833
POL,"4",121669177515.577
POL,"5",190730868002.132
DNK,"4",43097580486.852
XNC,"3",3313970103.433
SMR,"3",61215624.747
BRN,"1",5777801392.724
TGO,"1",56995317961.792
GTM,"1",109151180469.621
BRB,"1",392850245.152
SEN,"1",196797363772.997
EGY,"3",294282607227.69
EGY,"1",39968705879.708
EGY,"2",649239412327.44
BRA,"3",173064557139.343
BRA,"1",8011667538872.51
BRA,"2",314543636114.574
SUR,"1",146425550124.225
TON,"1",50628012.95
UZB,"6",4958927782.519
UZB,"3",31527665359.852
UZB,"5",403331859531.368
FJI,"1",18388013713.098
FRO,"4",1429077987.548
TWN,"1",15775618958.523
TWN,"2",20553458731.371
JPN,"2",45235257403.152
JPN,"5",326508884350.402
DEU,"4",357690519236.723
BOL,"1",1083392375358.21
BGD,"1",123822636324.894
BGD,"2",15561809422.004
AUT,"4",56560601742.807
AUT,"5",27297635017.463
HND,"1",112285344656.328
AUS,"3",1640028194842.39
AUS,"1",2225065153579.46
AUS,"2",3822034158043.74
FRA,"3",226559460033.866
FRA,"4",300533379163.102
FRA,"2",22397038269.349
SSD,"1",628098785342.969
LTU,"4",862731746.628
LTU,"5",64154102241.127
JAM,"1",10999664523.662
NPL,"2",147662662426.617
TLS,"1",14915478280.366
NAM,"3",13978459641.833
NAM,"1",619499832635.155
NAM,"2",190375968538.884
TTO,"1",5158350034.026
GIB,"3",7208114.326
FIN,"8",292342851635.218
FIN,"5",44449942526.587
MOZ,"1",787290416485.095
CYP,"3",5719652303.874
NZL,"3",189137378895.172
NZL,"4",21721407414.208
NZL,"2",56156148855.173
AFG,"3",622801224751.389
AFG,"2",19482732903.37
AFG,"5",1573999114.361
LVA,"4",10020673446.396
LVA,"5",54689437746.123
CHN,"6",1741365216099.25
CHN,"3",157920146313.692
CHN,"1",239806058278.693
CHN,"9",8384093290.673
CHN,"2",3677928588071.97
CHN,"5",3556575094741.66
CYM,"1",77720687.298
CHL,"7",58298523032.589
CHL,"3",371695366693.251
CHL,"1",152420678110.468
CHL,"10",26743131832.493
CHL,"4",94900567758.83
CHL,"2",53319199939.028
PER,"1",1291278769022.25
PER,"2",1538643749.052
BWA,"1",499851167294.643
BWA,"2",78032580565.275
LUX,"4",2581557404.8
SAU,"3",501662606177.963
SAU,"1",1146049813737.95
SAU,"2",268244915177.086
NIC,"1",128174805975.447
AND,"2",451950754.378
HKG,"2",1129279766.735
CAF,"1",620199642292.99
UGA,"1",239713450065.621
COD,"1",2329127671749.23
RWA,"1",25277679515.2
PAN,"1",75055916768.948
TZA,"1",932374707997.143
ZMB,"1",750491603335.691
AGO,"1",1237889915972.13
AGO,"2",9410578329.976
