fid,iso3_code,m2_area
"232",IOT,64447674.169
"233",CYP,5719652303.874
"234",NZL,268709441571.548
"235",CPV,4090952505.964
"236",AFG,643857956774.23
"237",LVA,64710111192.867
"238",SJM,60343330713.545
"239",CHN,9382250442817.79
"240",CYM,280407608.399
"241",CHL,757580334332.859
"242",PER,1292817412771.31
"243",BWA,577883744500.567
"244",LUX,2581557404.8
"245",SAU,1915986274315.94
"246",NIC,128219798438.22
"247",AND,451950754.378
"248",HKG,1129279766.735
"249",CAF,620199642292.99
"250",UGA,241439720871.17
"251",COD,2329127671749.23
"252",RWA,25277679515.2
"253",PAN,75103879753.517
"254",TZA,940576323954.346
"255",ZMB,750491603335.691
"256",AGO,1247421952948.02
