Priority,Alpha-3 code,Name,Continent,Population density,pop_density_1overm2,on-site heat generation fraction,Emission factor tCO2/GWh,,,,,,,,
,GLP,Guadeloupe,,239.65,0.00,1.00,199.40,,,,,,,,
,GMB,Gambia,,208.43,0.00,1.00,199.40,,,,,,,,
,GNB,Guinea-Bissau,,44.42,0.00,1.00,199.40,,,,,,,,
,GNQ,Equatorial Guinea,,48.42,0.00,1.00,199.40,,,,,,,,
,GRC,Greece,,81.27,0.00,1.00,199.40,,,,,,,,
,GRD,Grenada,,316.35,0.00,1.00,199.40,,,,,,,,
,GRL,Greenland,,0.03,0.00,1.00,199.40,,,,,,,,
,GTM,Guatemala,,162.36,0.00,1.00,199.40,,,,,,,,
,GUF,French Guiana,,3.11,0.00,1.00,199.40,,,,,,,,
,GUM,Guam,,323.84,0.00,1.00,199.40,,,,,,,,
,GUY,Guyana,,3.64,0.00,1.00,199.40,,,,,,,,
,HKG,Hong Kong,,6781.83,0.01,1.00,199.40,,,,,,,,
,HMD,Heard Island and McDonald Islands,,0.00,0.00,1.00,199.40,,,,,,,,
,HND,Honduras,,81.41,0.00,1.00,199.40,,,,,,,,
,HRV,Croatia,,72.30,0.00,1.00,199.40,,,,,,,,
,HTI,Haiti,,421.32,0.00,1.00,199.40,,,,,,,,
,HUN,Hungary,,104.96,0.00,1.00,199.40,,,,,,,,
,IDN,Indonesia,,141.87,0.00,1.00,199.40,,,,,,,,
,IMN,Isle of Man,,145.65,0.00,1.00,199.40,,,,,,,,
,IND,India,,411.48,0.00,1.00,199.40,,,,,,,,
,IOT,British Indian Ocean Territory,,0.00,0.00,1.00,199.40,,,,,,,,
20,IRL,Ireland,Europe,70.03,0.00,1.00,199.40,,,,,,,,
,IRN,Iran,,51.00,0.00,1.00,199.40,,,,,,,,
,IRQ,Iraq,,89.68,0.00,1.00,199.40,,,,,,,,
,ISL,Iceland,,3.56,0.00,1.00,199.40,,,,,,,,
,ISR,Israel,,423.00,0.00,1.00,199.40,,,,,,,,
16,ITA,Italy,Europe,199.97,0.00,1.00,199.40,,,,,,,,
,JAM,Jamaica,,248.08,0.00,1.00,199.40,,,,,,,,
,JEY,Jersey,,898.33,0.00,1.00,199.40,,,,,,,,
,JOR,Jordan,,123.00,0.00,1.00,199.40,,,,,,,,
,JPN,Japan,,333.38,0.00,1.00,199.40,,,,,,,,
,KAZ,Kazakhstan,,6.69,0.00,1.00,199.40,,,,,,,,
,KEN,Kenya,,81.75,0.00,1.00,199.40,,,,,,,,
